ProblemSize,ExecutionTime,Threads,Chunk Size
1000,0.36580729484558105,4,500
1500,0.5900478363037109,4,750
2000,1.3317310810089111,4,1000
2500,2.1731116771698,4,1250
3000,3.1615774631500244,4,1500
6000,12.907052755355835,4,3000
1000,0.3693246841430664,8,500
1500,0.6287822723388672,8,750
2000,1.254805564880371,8,1000
2500,2.1409554481506348,8,1250
3000,3.190877914428711,8,1500
6000,13.10888147354126,8,3000
1000,0.15875840187072754,16,250
1500,0.24106383323669434,16,375
2000,0.297832727432251,16,500
2500,0.42284584045410156,16,625
3000,0.6042912006378174,16,750
6000,3.1734883785247803,16,1500
12000,13.083481550216675,16,3000
15000,20.57086491584778,16,3750
