Problem Size,Execution Time,Threads,Chunk Size
1000,0.15696144104003906,4,250
2000,0.3239288330078125,4,500
4000,1.3040595054626465,4,1000
8000,5.976288557052612,4,2000
16000,23.986377239227295,4,4000
32000,91.3421733379364,4,8000
1000,0.09305882453918457,8,125
2000,0.12497496604919434,8,250
4000,0.3058931827545166,8,500
8000,1.2831485271453857,8,1000
16000,5.93009090423584,8,2000
32000,23.360140800476074,8,4000
1000,0.06452131271362305,16,62
2000,0.06044435501098633,16,125
4000,0.1253523826599121,16,250
8000,0.30772948265075684,16,500
16000,1.2901239395141602,16,1000
32000,5.739169359207153,16,2000
1000,0.05820894241333008,32,31
2000,0.025943517684936523,32,62
4000,0.06029844284057617,32,125
8000,0.11826753616333008,32,250
16000,0.3068125247955322,32,500
32000,1.2605171203613281,32,1000
1000,0.061060190200805664,64,15
2000,0.024117708206176758,64,31
4000,0.02156853675842285,64,62
8000,0.05730295181274414,64,125
16000,0.11469411849975586,64,250
32000,0.35137128829956055,64,500
