Problem Size,Execution Time,Threads,Total CPUs
1000,0.4625675678253174,4,4.0
2000,0.9364075660705566,4,4.0
4000,5.468863010406494,4,4.0
8000,21.43992805480957,4,4.0
16000,87.13707041740417,4,4.0
32000,347.31221771240234,4,4.0
1000,0.2973668575286865,8,8.0
2000,0.5243771076202393,8,8.0
4000,2.162670612335205,8,8.0
8000,11.619200944900513,8,8.0
16000,46.301653146743774,8,8.0
32000,187.25719046592712,8,8.0
1000,0.36370158195495605,16,16.0
2000,0.3457326889038086,16,16.0
4000,2.097092866897583,16,16.0
8000,7.270885705947876,16,16.0
16000,27.676006078720093,16,16.0
32000,113.2558765411377,16,16.0
1000,0.36162519454956055,32,32.0
2000,0.339388370513916,32,32.0
4000,1.5919392108917236,32,32.0
8000,7.107070446014404,32,32.0
16000,24.253388166427612,32,32.0
32000,97.58337545394897,32,32.0
1000,0.49561381340026855,64,64.0
2000,0.23190903663635254,64,64.0
4000,1.4241631031036377,64,64.0
8000,6.119336843490601,64,64.0
16000,26.10736107826233,64,64.0
32000,104.16352939605713,64,64.0
1000,2.0266542434692383,128,128.0
2000,0.203843355178833,128,128.0
4000,1.193866491317749,128,128.0
8000,6.627444744110107,128,128.0
16000,20.77661919593811,128,128.0
32000,105.5156569480896,128,128.0
