Problem Size, Execution Time, Number of Workers,Total CPUs
1000, 1.2213294506072998, 4, 4.0
1500, 0.5363938808441162, 4, 4.0
2000, 0.9326751232147217, 4, 4.0
2500, 1.6306946277618408, 4, 4.0
3000, 3.0489420890808105, 4, 4.0
6000, 12.499173641204834, 4, 4.0
12000, 49.91776776313782, 4, 4.0
15000, 77.29365491867065, 4, 4.0

1000, 1.311218500137329, 8, 8.0
1500, 0.2746086120605469, 8, 8.0
2000, 0.6221029758453369, 8, 8.0
2500, 0.9509727954864502, 8, 8.0
3000, 1.530106544494629, 8, 8.0
6000, 6.668513774871826, 8, 8.0
12000, 25.91636824607849, 8, 8.0
15000, 40.151349782943726, 8, 8.0

1000, 1.3097314834594727, 12, 12.0
1500, 0.3121492862701416, 12, 12.0
2000, 0.42960143089294434, 12, 12.0
2500, 0.6120147705078125, 12, 12.0
3000, 1.4208016395568848, 12, 12.0
6000, 4.705315351486206, 12, 12.0
12000, 18.46300435066223, 12, 12.0
15000, 28.494914531707764, 12, 12.0

1000, 1.4449219703674316, 16, 16.0
1500, 0.19495034217834473, 16, 16.0
2000, 0.4205484390258789, 16, 16.0
2500, 0.5653824806213379, 16, 16.0
3000, 0.9850900173187256, 16, 16.0
6000, 3.8718442916870117, 16, 16.0
12000, 15.687967777252197, 16, 16.0
15000, 24.026676416397095, 16, 16.0




